Time,Q9 [mOhm],T [K],sigma_T [K],DateTime
2026/8/12 09:01,0.648,0.022945305531644134,0.00178218836529763,2026-08-12 09:01:00
2026/8/12 16:04,0.649,0.022885879102054904,0.0017779761271590419,2026-08-12 16:04:00
2026/8/12 17:06,0.648,0.022945305531644134,0.00178218836529763,2026-08-12 17:06:00
2026/8/13 10:22,0.68,0.021184990899968944,0.0016565314480063219,2026-08-13 10:22:00
2026/8/13 12:26,0.658,0.022364577569097335,0.0017409362048859,2026-08-13 12:26:00
2026/8/13 14:03,0.661,0.022196048118279483,0.0017289274352791668,2026-08-13 14:03:00
2026/8/17 10:55,0.692,0.020592559523597027,0.0016138304159503299,2026-08-17 10:55:00
2026/8/17 11:40,0.695,0.020449592970449404,0.0016034946768274426,2026-08-17 11:40:00
2026/8/17 13:14,0.684,0.020983762245282787,0.001642050616621363,2026-08-17 13:14:00
2026/8/17 13:23,0.69,0.020688986318541203,0.0016207947533243925,2026-08-17 13:23:00
2026/8/17 15:22,0.696,0.02040237757380092,0.001600078596149322,2026-08-17 15:22:00
2026/8/17 16:30,0.685,0.020934050978760676,0.0016384696072783743,2026-08-17 16:30:00
2026/8/17 17:47,0.692,0.020592559523597027,0.0016138304159503299,2026-08-17 17:47:00
2026/8/17 18:17,0.703,0.02007787748931449,0.00157656505388154,2026-08-17 18:17:00
2026/8/19 10:44,0.685,0.020934050978760676,0.0016384696072783743,2026-08-19 10:44:00
2026/8/20 15:48,0.689,0.020737539157095745,0.0016242993586389693,2026-08-20 15:48:00
2026/8/20 17:49,0.691,0.020640660302626738,0.0016173051374972001,2026-08-20 17:49:00
2026/8/21 11:56,0.667,0.021866495858509777,0.0017053963703239422,2026-08-21 11:56:00
2026/8/21 14:50,0.671,0.021652177704413144,0.0016900589903442842,2026-08-21 14:50:00
2026/8/25 08:10,0.683,0.021033710168558553,0.001645647203905883,2026-08-25 08:10:00
2026/8/26 10:27,0.692,0.020592559523597027,0.0016138304159503299,2026-08-26 10:27:00
2026/8/26 12:15,0.686,0.02088457469102301,0.0016349040757089772,2026-08-26 12:15:00
2026/8/26 14:57,0.674,0.021494175978303057,0.001678734456347892,2026-08-26 14:57:00
2026/8/27 16:45,0.701,0.020169533689151375,0.0015832128435897869,2026-08-27 16:45:00
2026/8/28 10:12,0.699,0.020262030554049137,0.001589916572904889,2026-08-28 10:12:00
2026/8/28 15:18,0.702,0.020123601224023808,0.0015798819998127161,2026-08-28 15:18:00
2026/8/31 08:18,0.698,0.020308597858512707,0.0015932896343597038,2026-08-31 08:18:00
2026/9/1 08:56,0.691,0.020640660302626738,0.0016173051374972001,2026-09-01 08:56:00
2026/9/1 10:14,0.696,0.02040237757380092,0.001600078596149322,2026-09-01 10:14:00
2026/9/2 08:15,0.687,0.02083533171992627,0.0016313539225938389,2026-09-02 08:15:00
2026/9/3 09:05,0.676,0.02139011638189133,0.0016712680937720627,2026-09-03 09:05:00
2026/9/3 14:17,0.707,0.01989704165501105,0.0015634345358581437,2026-09-03 14:17:00
2026/9/4 08:58,0.726,0.019080731274844987,0.0015039214753019097,2026-09-04 08:58:00
2026/9/4 16:40,0.676,0.02139011638189133,0.0016712680937720627,2026-09-04 16:40:00
2026/9/8 08:25,0.732,0.018836686802023786,0.0014860528986842235,2026-09-08 08:25:00
2026/9/8 09:35,0.74,0.018520842221365488,0.0014628749061366196,2026-09-08 09:35:00
2026/9/9 08:52,0.745,0.01832876225629294,0.0014487504071112962,2026-09-09 08:52:00
2026/9/9 15:32,0.717,0.01945888969467219,0.0015315400847135004,2026-09-09 15:32:00
2026/9/10 08:28,0.726,0.019080731274844987,0.0015039214753019097,2026-09-10 08:28:00
2026/9/11 12:37,0.698,0.020308597858512707,0.0015932896343597038,2026-09-11 12:37:00
2026/9/11 16:44,0.673,0.021546586377631342,0.0016824925255399985,2026-09-11 16:44:00
2026/9/16 13:50,0.502,0.03695549031141734,0.0027174076409681503,2026-09-16 13:50:00
2026/9/16 14:08,0.529,0.033205959238106056,0.0024783665857803353,2026-09-16 14:08:00
2026/9/16 14:56,0.573,0.028494569788669478,0.0021663699792086643,2026-09-16 14:56:00
2026/9/16 15:01,0.57,0.028772916075280028,0.0021851637569395557,2026-09-16 15:01:00
2026/9/16 15:18,0.582,0.027690931944722785,0.002111853822912503,2026-09-16 15:18:00
2026/9/16 15:30,0.579,0.02795372672565461,0.0021297226525544494,2026-09-16 15:30:00
2026/9/17 09:37,0.63,0.024070342555217415,0.001861540069393621,2026-09-17 09:37:00
2026/9/17 11:28,0.627,0.02426866303804831,0.0018754508092235515,2026-09-17 11:28:00
2026/9/17 11:57,0.635,0.023746914523313064,0.0018388042518192242,2026-09-17 11:57:00
