Time,Q9 [mOhm]
2026/8/12 09:01,0.648
2026/8/12 16:04,0.649
2026/8/12 17:06,0.648
2026/8/13 10:22,0.68
2026/8/13 12:26,0.658
2026/8/13 14:03,0.661
2026/8/17 10:55,0.692
2026/8/17 11:40,0.695
2026/8/17 13:14,0.684
2026/8/17 13:23,0.69
2026/8/17 15:22,0.696
2026/8/17 16:30,0.685
2026/8/17 17:47,0.692
2026/8/17 18:17,0.703
2026/8/19 10:44,0.685
2026/8/20 15:48,0.689
2026/8/20 17:49,0.691
2026/8/21 11:56,0.667
2026/8/21 14:50,0.671
2026/8/25 08:10,0.683
2026/8/26 10:27,0.692
2026/8/26 12:15,0.686
2026/8/26 14:57,0.674
2026/8/27 16:45,0.701
2026/8/28 10:12,0.699
2026/8/28 15:18,0.702
2026/8/31 08:18,0.698
2026/9/1 08:56,0.691
2026/9/1 10:14,0.696
2026/9/2 08:15,0.687
2026/9/3 09:05,0.676
2026/9/3 14:17,0.707
2026/9/4 08:58,0.726
2026/9/4 16:40,0.676
2026/9/8 08:25,0.732
2026/9/8 09:35,0.74
2026/9/9 08:52,0.745
2026/9/9 15:32,0.717
2026/9/10 08:28,0.726
2026/9/11 12:37,0.698
2026/9/11 16:44,0.673
2026/9/16 13:50,0.502
2026/9/16 14:08,0.529
2026/9/16 14:56,0.573
2026/9/16 15:01,0.57
2026/9/16 15:18,0.582
2026/9/16 15:30,0.579
2026/9/17 09:37,0.63
2026/9/17 11:28,0.627
2026/9/17 11:57,0.635
2026/9/17 13:30,0.641
2026/9/18 09:00,0.634
2026/9/18 10:37,0.638
2026/9/18 14:24,0.581
